"brth_yr","gndr","nm","Count","Rank"
2014,"FEMALE","Angie","19","64"
2014,"MALE","Cole","31","81"
2014,"MALE","Mark","84","208"
2014,"FEMALE","Mariana","18","65"
2014,"MALE","Eliezer","52","62"
2014,"FEMALE","Liliana","39","140"
2014,"MALE","Shulem","45","68"
2014,"MALE","Nicolas","81","140"
2014,"FEMALE","Aaliyah","122","40"
2014,"MALE","Brooks","12","100"
2014,"MALE","Luka","24","88"
2014,"FEMALE","Ariana","189","119"
2014,"MALE","Kai","87","273"
2014,"MALE","Rayyan","24","44"
2014,"MALE","Isaac","275","142"
2014,"MALE","Jason","231","159"
2014,"MALE","Shmiel","19","93"
2014,"FEMALE","Esty","22","74"
2014,"FEMALE","Allyson","16","67"
2014,"FEMALE","Leilani","31","103"
2014,"FEMALE","Yasmina","11","85"
2014,"FEMALE","Monserrat","10","73"
2014,"FEMALE","Camille","11","85"
2014,"MALE","Iker","49","60"
2014,"FEMALE","Itzel","24","59"
2014,"FEMALE","Madeline","92","140"
2014,"FEMALE","Lila","53","93"
2014,"FEMALE","Hope","11","40"
2014,"FEMALE","Karla","23","60"
2014,"FEMALE","Arianna","166","140"
2014,"FEMALE","Aria","118","162"
2014,"MALE","Milan","44","176"
2014,"MALE","Johan","23","85"
2014,"MALE","Jaylen","19","51"
2014,"MALE","Rohan","21","47"
2014,"MALE","Leon","60","228"
2014,"FEMALE","Clementine","11","85"
2014,"MALE","Gordon","10","58"
2014,"FEMALE","Kyla","11","40"
2014,"FEMALE","Kate","37","192"
2014,"MALE","Reuben","11","101"
2014,"FEMALE","Amber","35","98"
2014,"MALE","Simcha","23","89"
2014,"MALE","Chaim","130","23"
2014,"MALE","Kaden","42","204"
2014,"MALE","Edison","14","54"
2014,"MALE","Leibish","12","100"
2014,"MALE","Hersh","22","90"
2014,"FEMALE","Fradel","11","85"
2014,"MALE","Stanley","14","54"
2014,"FEMALE","Kimora","13","38"
2014,"FEMALE","Sadie","43","53"
2014,"MALE","Andre","13","57"
2014,"MALE","Cristian","33","75"
2014,"FEMALE","Sima","14","82"
2014,"FEMALE","Libby","30","66"
2014,"MALE","Dov","38","74"
2014,"MALE","Amare","10","60"
2014,"FEMALE","Lizbeth","19","64"
2014,"FEMALE","Zuri","21","30"
2014,"FEMALE","Amirah","10","41"
2014,"MALE","Kendrick","12","96"
2014,"FEMALE","Alissa","10","73"
2014,"MALE","Marcel","10","102"
2014,"FEMALE","Gitty","68","33"
2014,"FEMALE","Brielle","52","178"
2014,"MALE","Ashton","55","237"
2014,"FEMALE","Jaylah","15","68"
2014,"MALE","Shlomo","55","59"
2014,"FEMALE","Esme","14","82"
2014,"MALE","Avi","11","101"
2014,"FEMALE","Jade","63","74"
2014,"MALE","Adriel","34","74"
2014,"FEMALE","Aissatou","13","38"
2014,"FEMALE","Jayla","47","87"
2014,"FEMALE","Monica","12","71"
2014,"FEMALE","Kadiatou","10","41"
2014,"FEMALE","Faith","72","64"
2014,"MALE","Ayan","16","52"
2014,"MALE","Jax","11","101"
2014,"FEMALE","Kylee","10","41"
2014,"MALE","Judah","15","97"
2014,"FEMALE","Maria","102","86"
2014,"FEMALE","Helen","35","144"
2014,"MALE","Akiva","22","90"
2014,"MALE","Thiago","37","71"
2014,"MALE","Luke","155","225"
2014,"FEMALE","Rosa","10","86"
2014,"FEMALE","Isla","31","65"
2014,"MALE","Logan","269","138"
2014,"FEMALE","Megan","34","99"
2014,"MALE","Adam","301","150"
2014,"FEMALE","Sarah","281","98"
2014,"FEMALE","Jenna","23","73"
2014,"MALE","Derek","100","190"
2014,"FEMALE","Adina","22","74"
2014,"MALE","Colin","51","129"
2014,"MALE","Lipa","39","73"
2014,"MALE","Bryce","45","135"
2014,"FEMALE","Aubree","30","104"
2014,"MALE","Shawn","11","57"
2014,"MALE","Anson","23","45"
2014,"FEMALE","Alexandria","10","41"
2014,"FEMALE","Angelique","17","66"
2014,"MALE","David","515","82"
2014,"MALE","Zayan","18","50"
2014,"FEMALE","Angela","94","71"
2014,"MALE","Francisco","33","75"
2014,"MALE","Reid","15","97"
2014,"FEMALE","Angelina","132","148"
2014,"MALE","Filip","11","101"
2014,"MALE","Gabriel","303","133"
2014,"FEMALE","Kendra","11","72"
2014,"MALE","Griffin","16","96"
2014,"FEMALE","Erica","12","38"
2014,"MALE","Blake","35","147"
2014,"FEMALE","Selina","19","31"
2014,"FEMALE","Giovanna","13","83"
2014,"FEMALE","Amira","34","113"
2014,"FEMALE","Elina","16","34"
2014,"MALE","Roman","55","195"
2014,"FEMALE","Goldy","17","79"
2014,"MALE","Javier","42","66"
2014,"MALE","Jael","13","95"
2014,"FEMALE","Nathaly","19","64"
2014,"FEMALE","Salma","10","86"
2014,"FEMALE","Alexandra","126","117"
2014,"MALE","Jean","22","86"
2014,"FEMALE","Mariam","66","86"
2014,"FEMALE","Emerson","17","79"
2014,"MALE","Yitzchak","15","97"
2014,"FEMALE","Winnie","11","39"
2014,"MALE","Ezra","67","224"
2014,"FEMALE","Hanna","32","114"
2014,"FEMALE","Melany","39","47"
2014,"FEMALE","Luna","68","164"
2014,"FEMALE","Juliet","47","132"
2014,"FEMALE","Maryam","53","144"
2014,"MALE","Alejandro","55","55"
2014,"MALE","Roy","23","45"
2014,"MALE","Jamar","12","58"
2014,"FEMALE","Chany","33","63"
2014,"FEMALE","Anastasia","26","70"
2014,"FEMALE","Maeve","30","66"
2014,"FEMALE","Amy","104","47"
2014,"MALE","Alpha","16","54"
2014,"MALE","Adrian","223","186"
2014,"FEMALE","Alexis","49","181"
2014,"MALE","Amir","147","184"
2014,"FEMALE","Colette","15","81"
2014,"FEMALE","Violeta","12","71"
2014,"FEMALE","Catherine","67","162"
2014,"MALE","Israel","53","167"
2014,"FEMALE","Etty","18","78"
2014,"MALE","Christopher","305","135"
2014,"FEMALE","Miriam","143","10"
2014,"MALE","Dante","27","193"
2014,"MALE","Peyton","14","56"
2014,"FEMALE","Athena","45","184"
2014,"FEMALE","Fatou","10","41"
2014,"MALE","Moshe","267","4"
2014,"FEMALE","Laura","37","142"
2014,"FEMALE","Rochel","31","65"
2014,"FEMALE","Olivia","537","26"
2014,"MALE","Bryant","13","95"
2014,"FEMALE","Mackenzie","56","174"
2014,"MALE","Benzion","18","94"
2014,"FEMALE","Keira","13","83"
2014,"FEMALE","Eden","14","82"
2014,"FEMALE","Heidi","11","72"
2014,"FEMALE","Shreya","10","40"
2014,"FEMALE","Piper","19","77"
2014,"FEMALE","Brooklyn","14","37"
2014,"MALE","Damien","16","92"
2014,"FEMALE","Haylee","15","68"
2014,"MALE","Arthur","25","87"
2014,"FEMALE","Angelica","42","137"
2014,"MALE","Jaiden","35","143"
2014,"MALE","Emmanuel","111","143"
2014,"FEMALE","Annabella","15","68"
2014,"FEMALE","Ahuva","22","74"
2014,"FEMALE","Genevieve","23","73"
2014,"MALE","Eddy","10","98"
2014,"MALE","Armani","13","95"
2014,"FEMALE","Julianna","36","143"
2014,"FEMALE","Amara","12","39"
2014,"MALE","Pablo","16","92"
2014,"MALE","Arham","12","56"
2014,"MALE","Avery","46","132"
2014,"FEMALE","Kennedy","35","112"
2014,"MALE","Yechiel","39","73"
2014,"MALE","Austin","164","203"
2014,"MALE","Jimmy","19","49"
2014,"FEMALE","Carina","18","32"
2014,"MALE","Naftali","22","90"
2014,"FEMALE","Alana","33","101"
2014,"FEMALE","Anya","10","40"
2014,"MALE","Aiden","499","68"
2014,"FEMALE","Vivienne","36","60"
2014,"FEMALE","Giuliana","23","73"
2014,"FEMALE","Penelope","146","147"
2014,"FEMALE","Guadalupe","29","54"
2014,"FEMALE","Elizabeth","186","121"
2014,"MALE","Elimelech","16","96"
2014,"MALE","Eitan","13","99"
2014,"MALE","Andrew","283","123"
2014,"FEMALE","Nadia","13","83"
2014,"FEMALE","Lauryn","10","41"
2014,"MALE","Ronan","21","91"
2014,"FEMALE","Frady","14","82"
2014,"FEMALE","Aisha","46","151"
2014,"FEMALE","Serena","40","106"
2014,"FEMALE","Juliana","57","122"
2014,"FEMALE","Khadijah","13","38"
2014,"MALE","Nosson","11","101"
2014,"FEMALE","Cecelia","11","85"
2014,"FEMALE","Kimberly","72","29"
2014,"MALE","Arlo","16","96"
2014,"MALE","Nolan","36","146"
2014,"MALE","Joseph","459","121"
2014,"FEMALE","Cataleya","12","71"
2014,"MALE","Ali","85","167"
2014,"FEMALE","Joyce","15","35"
2014,"MALE","Jeremiah","212","40"
2014,"MALE","Angelo","12","100"
2014,"FEMALE","Margot","19","77"
2014,"FEMALE","Annie","30","20"
2014,"FEMALE","Bridget","11","85"
2014,"FEMALE","Angel","16","34"
2014,"FEMALE","Frimet","12","84"
2014,"MALE","Amadou","15","55"
2014,"MALE","Jordan","153","214"
2014,"FEMALE","Karina","13","37"
2014,"MALE","Enzo","17","91"
2014,"MALE","Ricardo","22","86"
2014,"MALE","Mendel","38","74"
2014,"MALE","Armaan","13","55"
2014,"MALE","Yahir","15","93"
2014,"FEMALE","Dayana","16","67"
2014,"MALE","Mateo","87","140"
2014,"MALE","Jay","21","87"
2014,"FEMALE","Chavy","13","83"
2014,"MALE","Shane","19","93"
2014,"FEMALE","Evie","12","84"
2014,"FEMALE","Yides","26","70"
2014,"FEMALE","Tiana","13","38"
2014,"MALE","Jayden","609","85"
2014,"MALE","Aharon","21","91"
2014,"FEMALE","Zoe","240","86"
2014,"MALE","Noah","589","55"
